City,Date,PM2.5,PM10,NO2,CO,SO2,O3,wind_speed,violations_7d,temperature,humidity,AQI,future_aqi
Ahmedabad,2015-01-29,83.13,,28.71,6.93,49.52,59.76,2.3523713224089864,4,29.085095308049915,67.62059905869529,209.0,328.0
Ahmedabad,2015-01-30,79.84,,28.68,13.85,48.49,97.07,1.2493885590630525,6,39.914403310324396,84.62635827840093,328.0,514.0
Ahmedabad,2015-01-31,94.52,,32.66,24.39,67.39,111.33,0.9481508304805542,10,23.06685443102906,33.254225326434074,514.0,782.0
Ahmedabad,2015-02-01,135.99,,42.08,43.48,75.23,102.7,0.30842388512642027,15,25.310557554240745,77.13777496926664,782.0,914.0
Ahmedabad,2015-02-02,178.33,,35.31,54.56,55.04,107.38,0.3,15,26.53484923104404,38.73068647290976,914.0,660.0
Ahmedabad,2015-02-03,139.7,,28.4,30.61,33.79,73.6,0.3,14,26.389023772437717,50.45440940010555,660.0,294.0
Ahmedabad,2015-02-04,80.65,,22.83,2.37,25.73,47.3,2.7933702524059134,5,21.010357483736538,73.77503170440052,294.0,149.0
Ahmedabad,2015-02-05,58.36,,21.39,2.6,32.66,53.54,2.868947783322327,4,42.46997644893761,42.58103565003511,149.0,190.0
Ahmedabad,2015-02-06,79.29,,26.94,1.16,67.41,59.3,1.6744204912520382,5,38.78730902040692,43.87228506329014,190.0,247.0
Ahmedabad,2015-02-07,88.7,,31.32,7.29,80.09,44.76,2.1990480348687718,6,44.26928338859951,42.7228250828546,247.0,379.0
Ahmedabad,2015-02-08,74.28,,27.3,8.92,54.28,47.42,0.7342658457500302,9,26.129812302475166,57.37430546069402,379.0,341.0
Ahmedabad,2015-02-09,113.93,,24.27,4.32,48.73,39.94,0.9224161971437944,7,16.35885894942895,34.859101336569324,341.0,256.0
Ahmedabad,2015-02-10,105.39,,18.21,1.41,35.91,56.15,1.9135698172528273,7,18.465032573408454,83.19131631844414,256.0,388.0
Ahmedabad,2015-02-11,66.52,,23.8,6.34,66.58,53.14,0.3,7,25.72450871129613,73.7834793348087,388.0,288.0
Ahmedabad,2015-02-12,65.04,,30.1,14.19,65.91,31.88,0.3,6,42.33192306168249,60.81061100344875,288.0,510.0
Ahmedabad,2015-02-13,103.36,,39.56,18.18,80.43,40.11,0.3,12,44.432542028026276,35.05260159976578,510.0,761.0
Ahmedabad,2015-02-14,177.33,,47.58,37.49,99.72,36.47,0.3,15,39.65991318385609,37.459668608907926,761.0,475.0
Ahmedabad,2015-02-15,113.25,,30.5,15.55,69.71,33.78,0.8763978660762191,10,22.152764159360622,35.90805771545041,475.0,536.0
Ahmedabad,2015-02-16,99.7,,28.1,19.85,73.23,30.57,0.3,10,34.79098294807458,30.884965430076978,536.0,479.0
Ahmedabad,2015-02-17,80.61,,21.04,15.96,54.7,36.2,0.3,10,32.898218364107166,70.02547026157197,479.0,592.0
Ahmedabad,2015-02-18,100.79,,25.93,16.24,43.11,37.43,1.2125190151372434,11,39.69757072245376,60.60898529424341,592.0,427.0
Ahmedabad,2015-02-19,107.99,,30.09,11.25,84.86,31.94,0.6843789596107717,8,30.292480562775907,52.92384356529558,427.0,588.0
Ahmedabad,2015-02-20,140.29,,36.14,33.84,101.53,40.98,0.3,13,24.54389599490049,50.85201540734286,588.0,1141.0
Ahmedabad,2015-02-21,239.96,,46.25,61.95,84.87,33.55,0.3,15,15.578328325258887,57.683195758431,1141.0,669.0
Ahmedabad,2015-02-22,142.96,,48.21,45.45,62.96,34.77,0.3,14,38.85078582359016,58.49764939591287,669.0,1247.0
Ahmedabad,2015-02-23,238.41,,55.07,77.7,89.07,37.3,0.3,15,30.907449869869037,38.344630977717344,1247.0,411.0
Ahmedabad,2015-02-24,118.72,,32.01,12.56,61.54,38.8,0.3,10,31.025621328289258,61.89208420815878,411.0,292.0
Ahmedabad,2015-02-25,52.99,,10.45,2.23,32.76,67.25,1.8405584146765377,5,43.71186991950127,32.88164857156527,292.0,189.0
Ahmedabad,2015-03-02,60.78,,18.21,9.07,29.48,34.75,1.5744890480649563,5,29.586823883119223,86.31878343310268,189.0,408.0
Ahmedabad,2015-03-03,91.83,,28.71,12.99,39.71,38.46,0.7266450001653786,9,24.474039984015704,72.85308446485274,408.0,383.0
Ahmedabad,2015-03-04,93.88,,29.38,18.21,62.75,46.79,0.6036347102164824,9,25.195139026073925,30.56750571066088,383.0,780.0
